Korean,English,Etymology,Part of Speech,Example Sentence,Sentence Translation,Part Of Speech
출시,launch,"出 (출: go out, emerge) + 市 (시: market, city)",Noun,"편의점에서는 네 캔을 사면 알파벳을 조합할 수 있는 'MBTI 맥주'가 불티나게 팔렸고, 은행들은 고객의 성향에 맞춰 소비 패턴을 분석해 주는 'MBTI 맞춤형 적금'까지 출시했습니다.","At convenience stores, 'MBTI beer' (where you could combine alphabets if you bought four cans) sold like hotcakes, and banks even launched 'MBTI customized savings accounts' that analyze customers' spending patterns according to their tendencies.",
바야흐로,indeed,Pure Korean,Adverb,바야흐로 소비자의 지갑을 열게 만드는 가장 강력한 키워드가 된 것입니다.,"Indeed, it has become the most powerful keyword that makes consumers open their wallets.",
소비자,consumer,"消費 (소비: consume) + 者 (자: person) -> 消 (소: vanish, disappear) + 費 (비: expense, consume) + 者 (자: person)",Noun,바야흐로 소비자의 지갑을 열게 만드는 가장 강력한 키워드가 된 것입니다.,This has now become the most powerful keyword that opens consumers' wallets.,
지갑,wallet,Pure Korean,Noun,바야흐로 소비자의 지갑을 열게 만드는 가장 강력한 키워드가 된 것입니다.,This has now become the most powerful keyword that opens consumers' wallets.,
열다,to open,Pure Korean,Verb,바야흐로 소비자의 지갑을 열게 만드는 가장 강력한 키워드가 된 것입니다.,This has now become the most powerful keyword that opens consumers' wallets.,
키워드,keyword,Pure Korean,Noun,바야흐로 소비자의 지갑을 열게 만드는 가장 강력한 키워드가 된 것입니다.,This has now become the most powerful keyword that opens consumers' wallets.,
하지만,however,Pure Korean,Adverb,하지만 이 열풍이 항상 재미있는 밈(meme)으로만 소비되는 것은 아닙니다.,"However, this craze is not always consumed only as interesting memes.",
항상,always,"恒常 (항상) -> 恒 (항: constant, regular) + 常 (상: usual, normal)",Adverb,하지만 이 열풍이 항상 재미있는 밈(meme)으로만 소비되는 것은 아닙니다.,"However, this craze is not always consumed only as interesting memes.",
재미있다,to be interesting,Pure Korean,Adjective,하지만 이 열풍이 항상 재미있는 밈(meme)으로만 소비되는 것은 아닙니다.,"However, this craze is not always consumed only as interesting memes.",
밈,meme,Pure Korean,Noun,하지만 이 열풍이 항상 재미있는 밈(meme)으로만 소비되는 것은 아닙니다.,"However, this craze is not always consumed only as interesting memes.",
논란,controversy,"論難 (논란) -> 論 (논: discuss, argue) + 難 (란: difficult, problematic)",Noun,가장 논란이 되고 있는 곳은 바로 취업 시장입니다.,The most controversial area is the job market.,
곳,place,Pure Korean,Noun,가장 논란이 되고 있는 곳은 바로 취업 시장입니다.,The most controversial area is the job market.,
취업,employment,"就業 (취업) -> 就 (취: proceed to, go into) + 業 (업: work, business)",Noun,가장 논란이 되고 있는 곳은 바로 취업 시장입니다.,The most controversial area is the job market.,
최근,recent times,"最近 (최근) -> 最 (최: most, extreme) + 近 (근: near, close)",Noun,"최근 몇 년 사이, 아르바이트생을 구하거나 신입사원을 채용할 때 이력서에 MBTI를 필수로 적어 내라는 기업들이 생겨났습니다.","In recent years, companies have emerged that require MBTI to be written as a mandatory item on resumes when hiring part-time workers or new employees.",
사이,interval,Pure Korean,Noun,"최근 몇 년 사이, 아르바이트생을 구하거나 신입사원을 채용할 때 이력서에 MBTI를 필수로 적어 내라는 기업들이 생겨났습니다.","In recent years, companies have emerged that require MBTI to be written as a mandatory item on resumes when hiring part-time workers or new employees.",
아르바이트,part-time job,Pure Korean,Noun,"최근 몇 년 사이, 아르바이트생을 구하거나 신입사원을 채용할 때 이력서에 MBTI를 필수로 적어 내라는 기업들이 생겨났습니다.","In recent years, companies have emerged that require MBTI to be written as a mandatory item on resumes when hiring part-time workers or new employees.",
구하다,"to seek, to hire",Pure Korean,Verb,"최근 몇 년 사이, 아르바이트생을 구하거나 신입사원을 채용할 때 이력서에 MBTI를 필수로 적어 내라는 기업들이 생겨났습니다.","In recent years, companies have emerged that require MBTI to be written as a mandatory item on resumes when hiring part-time workers or new employees.",
신입,newcomer,"新入 (신입) -> 新 (신: new) + 入 (입: enter, join)",Noun,"최근 몇 년 사이, 아르바이트생을 구하거나 신입사원을 채용할 때 이력서에 MBTI를 필수로 적어 내라는 기업들이 생겨났습니다.","In recent years, companies have emerged that require MBTI to be written as a mandatory item on resumes when hiring part-time workers or new employees.",
사원,employee,"社員 (사원) -> 社 (사: company, society) + 員 (원: member, employee)",Noun,"최근 몇 년 사이, 아르바이트생을 구하거나 신입사원을 채용할 때 이력서에 MBTI를 필수로 적어 내라는 기업들이 생겨났습니다.","In recent years, companies have emerged that require MBTI to be written as a mandatory item on resumes when hiring part-time workers or new employees.",
채용,"recruitment, hiring","採用 (채용) -> 採 (채: choose, adopt) + 用 (용: use, employ)",Noun,"최근 몇 년 사이, 아르바이트생을 구하거나 신입사원을 채용할 때 이력서에 MBTI를 필수로 적어 내라는 기업들이 생겨났습니다.","In recent years, companies have emerged that require MBTI to be written as a mandatory item on resumes when hiring part-time workers or new employees.",
때,"time, occasion",Pure Korean,Noun,"최근 몇 년 사이, 아르바이트생을 구하거나 신입사원을 채용할 때 이력서에 MBTI를 필수로 적어 내라는 기업들이 생겨났습니다.","In recent years, companies have emerged that require MBTI to be written as a mandatory item on resumes when hiring part-time workers or new employees.",
이력서,resume,"履歷書 (이력서) -> 履 (이: record, history) + 歷 (력: experience, past) + 書 (서: document, writing)",Noun,"최근 몇 년 사이, 아르바이트생을 구하거나 신입사원을 채용할 때 이력서에 MBTI를 필수로 적어 내라는 기업들이 생겨났습니다.","In recent years, companies have emerged that require MBTI to be written as a mandatory item on resumes when hiring part-time workers or new employees.",
내다,to submit,Pure Korean,Verb,"최근 몇 년 사이, 아르바이트생을 구하거나 신입사원을 채용할 때 이력서에 MBTI를 필수로 적어 내라는 기업들이 생겨났습니다.","In recent years, companies have emerged that require MBTI to be written as a mandatory item on resumes when hiring part-time workers or new employees.",
기업,company,"企業 (기업) -> 企 (기: plan, scheme) + 業 (업: business, industry)",Noun,"최근 몇 년 사이, 아르바이트생을 구하거나 신입사원을 채용할 때 이력서에 MBTI를 필수로 적어 내라는 기업들이 생겨났습니다.","In recent years, companies have emerged that require MBTI to be written as a mandatory item on resumes when hiring part-time workers or new employees.",
생겨나다,"to emerge, to come into being",Pure Korean,Verb,"최근 몇 년 사이, 아르바이트생을 구하거나 신입사원을 채용할 때 이력서에 MBTI를 필수로 적어 내라는 기업들이 생겨났습니다.","In recent years, companies have emerged that require MBTI to be written as a mandatory item on resumes when hiring part-time workers or new employees.",
특정,"specific, particular","特定 (특정) -> 特 (특: special, unique) + 定 (정: decide, determine)",Noun,"특정 카페에서는 ""활발한 E(외향형) 유형만 지원 가능""이라는 공고를 올려 차별 논란이 일기도 했고, 어떤 대기업 면접에서는 ""본인의 MBTI 장단점을 우리 회사의 직무와 연결해서 설명해 보세요""라는 질문이 등장했습니다.","In a specific cafe, an announcement stating ""Only active E (extroverted) types can apply"" led to a discrimination controversy, and in some large company interviews, a question appeared asking, ""Explain the strengths and weaknesses of your MBTI type in relation to our company's job duties.""",
카페,cafe,Pure Korean,Noun,"특정 카페에서는 ""활발한 E(외향형) 유형만 지원 가능""이라는 공고를 올려 차별 논란이 일기도 했고, 어떤 대기업 면접에서는 ""본인의 MBTI 장단점을 우리 회사의 직무와 연결해서 설명해 보세요""라는 질문이 등장했습니다.","In a specific cafe, an announcement stating ""Only active E (extroverted) types can apply"" led to a discrimination controversy, and in some large company interviews, a question appeared asking, ""Explain the strengths and weaknesses of your MBTI type in relation to our company's job duties.""",
지원,application,"志願 (지원) -> 志 (지: will, purpose) + 願 (원: wish, desire)",Noun,"특정 카페에서는 ""활발한 E(외향형) 유형만 지원 가능""이라는 공고를 올려 차별 논란이 일기도 했고, 어떤 대기업 면접에서는 ""본인의 MBTI 장단점을 우리 회사의 직무와 연결해서 설명해 보세요""라는 질문이 등장했습니다.","In a specific cafe, an announcement stating ""Only active E (extroverted) types can apply"" led to a discrimination controversy, and in some large company interviews, a question appeared asking, ""Explain the strengths and weaknesses of your MBTI type in relation to our company's job duties.""",
가능,"possible, possibility","可能 (가능) -> 可 (가: can, able) + 能 (능: ability, talent)",Noun,"특정 카페에서는 ""활발한 E(외향형) 유형만 지원 가능""이라는 공고를 올려 차별 논란이 일기도 했고, 어떤 대기업 면접에서는 ""본인의 MBTI 장단점을 우리 회사의 직무와 연결해서 설명해 보세요""라는 질문이 등장했습니다.","In a specific cafe, an announcement stating ""Only active E (extroverted) types can apply"" led to a discrimination controversy, and in some large company interviews, a question appeared asking, ""Explain the strengths and weaknesses of your MBTI type in relation to our company's job duties.""",
공고,"announcement, notice","公告 (공고) -> 公 (공: public, common) + 告 (고: tell, inform)",Noun,"특정 카페에서는 ""활발한 E(외향형) 유형만 지원 가능""이라는 공고를 올려 차별 논란이 일기도 했고, 어떤 대기업 면접에서는 ""본인의 MBTI 장단점을 우리 회사의 직무와 연결해서 설명해 보세요""라는 질문이 등장했습니다.","In a specific cafe, an announcement stating ""Only active E (extroverted) types can apply"" led to a discrimination controversy, and in some large company interviews, a question appeared asking, ""Explain the strengths and weaknesses of your MBTI type in relation to our company's job duties.""",
올리다,"to post, to upload",Pure Korean,Verb,"특정 카페에서는 ""활발한 E(외향형) 유형만 지원 가능""이라는 공고를 올려 차별 논란이 일기도 했고, 어떤 대기업 면접에서는 ""본인의 MBTI 장단점을 우리 회사의 직무와 연결해서 설명해 보세요""라는 질문이 등장했습니다.","In a specific cafe, an announcement stating ""Only active E (extroverted) types can apply"" led to a discrimination controversy, and in some large company interviews, a question appeared asking, ""Explain the strengths and weaknesses of your MBTI type in relation to our company's job duties.""",
차별,discrimination,"差別 (차별) -> 差 (차: difference, disparity) + 別 (별: differentiate, separate)",Noun,"특정 카페에서는 ""활발한 E(외향형) 유형만 지원 가능""이라는 공고를 올려 차별 논란이 일기도 했고, 어떤 대기업 면접에서는 ""본인의 MBTI 장단점을 우리 회사의 직무와 연결해서 설명해 보세요""라는 질문이 등장했습니다.","In a specific cafe, an announcement stating ""Only active E (extroverted) types can apply"" led to a discrimination controversy, and in some large company interviews, a question appeared asking, ""Explain the strengths and weaknesses of your MBTI type in relation to our company's job duties.""",
일다,to arise,Pure Korean,Verb,"특정 카페에서는 ""활발한 E(외향형) 유형만 지원 가능""이라는 공고를 올려 차별 논란이 일기도 했고, 어떤 대기업 면접에서는 ""본인의 MBTI 장단점을 우리 회사의 직무와 연결해서 설명해 보세요""라는 질문이 등장했습니다.","In a particular cafe, a notice stating 'Only active E (extroverted) types can apply' was posted, leading to discrimination controversy, and in an interview at a certain large corporation, the question 'Please explain the pros and cons of your MBTI type in connection with our company's job role' appeared.",
면접,interview,"面 (면: face) + 接 (접: meet, contact)",Noun,"특정 카페에서는 ""활발한 E(외향형) 유형만 지원 가능""이라는 공고를 올려 차별 논란이 일기도 했고, 어떤 대기업 면접에서는 ""본인의 MBTI 장단점을 우리 회사의 직무와 연결해서 설명해 보세요""라는 질문이 등장했습니다.","In a particular cafe, a notice stating 'Only active E (extroverted) types can apply' was posted, leading to discrimination controversy, and in an interview at a certain large corporation, the question 'Please explain the pros and cons of your MBTI type in connection with our company's job role' appeared.",
본인,self,"本 (본: root, self) + 人 (인: person)",Noun,"특정 카페에서는 ""활발한 E(외향형) 유형만 지원 가능""이라는 공고를 올려 차별 논란이 일기도 했고, 어떤 대기업 면접에서는 ""본인의 MBTI 장단점을 우리 회사의 직무와 연결해서 설명해 보세요""라는 질문이 등장했습니다.","In a particular cafe, a notice stating 'Only active E (extroverted) types can apply' was posted, leading to discrimination controversy, and in an interview at a certain large corporation, the question 'Please explain the pros and cons of your MBTI type in connection with our company's job role' appeared.",
장단점,pros and cons,"長 (장: long, strong point) + 短 (단: short, weak point) + 點 (점: point)",Noun,"특정 카페에서는 ""활발한 E(외향형) 유형만 지원 가능""이라는 공고를 올려 차별 논란이 일기도 했고, 어떤 대기업 면접에서는 ""본인의 MBTI 장단점을 우리 회사의 직무와 연결해서 설명해 보세요""라는 질문이 등장했습니다.","In a particular cafe, a notice stating 'Only active E (extroverted) types can apply' was posted, leading to discrimination controversy, and in an interview at a certain large corporation, the question 'Please explain the pros and cons of your MBTI type in connection with our company's job role' appeared.",
회사,company,"會 (회: gather, meeting) + 社 (사: company, society)",Noun,"특정 카페에서는 ""활발한 E(외향형) 유형만 지원 가능""이라는 공고를 올려 차별 논란이 일기도 했고, 어떤 대기업 면접에서는 ""본인의 MBTI 장단점을 우리 회사의 직무와 연결해서 설명해 보세요""라는 질문이 등장했습니다.","In a particular cafe, a notice stating 'Only active E (extroverted) types can apply' was posted, leading to discrimination controversy, and in an interview at a certain large corporation, the question 'Please explain the pros and cons of your MBTI type in connection with our company's job role' appeared.",
직무,job role,"職 (직: duty, position) + 務 (무: task, service)",Noun,"특정 카페에서는 ""활발한 E(외향형) 유형만 지원 가능""이라는 공고를 올려 차별 논란이 일기도 했고, 어떤 대기업 면접에서는 ""본인의 MBTI 장단점을 우리 회사의 직무와 연결해서 설명해 보세요""라는 질문이 등장했습니다.","In a particular cafe, a notice stating 'Only active E (extroverted) types can apply' was posted, leading to discrimination controversy, and in an interview at a certain large corporation, the question 'Please explain the pros and cons of your MBTI type in connection with our company's job role' appeared.",
연결,connection,"連 (연: connect, link) + 結 (결: tie, bind)",Noun,"특정 카페에서는 ""활발한 E(외향형) 유형만 지원 가능""이라는 공고를 올려 차별 논란이 일기도 했고, 어떤 대기업 면접에서는 ""본인의 MBTI 장단점을 우리 회사의 직무와 연결해서 설명해 보세요""라는 질문이 등장했습니다.","In a particular cafe, a notice stating 'Only active E (extroverted) types can apply' was posted, leading to discrimination controversy, and in an interview at a certain large corporation, the question 'Please explain the pros and cons of your MBTI type in connection with our company's job role' appeared.",
설명,explanation,"說 (설: speak, explain) + 明 (명: bright, clear)",Noun,"특정 카페에서는 ""활발한 E(외향형) 유형만 지원 가능""이라는 공고를 올려 차별 논란이 일기도 했고, 어떤 대기업 면접에서는 ""본인의 MBTI 장단점을 우리 회사의 직무와 연결해서 설명해 보세요""라는 질문이 등장했습니다.","In a particular cafe, a notice stating 'Only active E (extroverted) types can apply' was posted, leading to discrimination controversy, and in an interview at a certain large corporation, the question 'Please explain the pros and cons of your MBTI type in connection with our company's job role' appeared.",
등장,appearance,"登 (등: ascend, appear) + 場 (장: place, stage)",Noun,"특정 카페에서는 ""활발한 E(외향형) 유형만 지원 가능""이라는 공고를 올려 차별 논란이 일기도 했고, 어떤 대기업 면접에서는 ""본인의 MBTI 장단점을 우리 회사의 직무와 연결해서 설명해 보세요""라는 질문이 등장했습니다.","In a particular cafe, a notice stating 'Only active E (extroverted) types can apply' was posted, leading to discrimination controversy, and in an interview at a certain large corporation, the question 'Please explain the pros and cons of your MBTI type in connection with our company's job role' appeared.",
스스로,oneself,Pure Korean,Adverb,"스스로 답을 고르는 심리 검사 결과가 채용의 기준이 되는 현상에 대해, 전문가들은 ""개인의 복잡한 역량을 알파벳 몇 개로 재단하는 것은 위험하다""고 경고하고 있습니다.","Regarding the phenomenon where the results of psychological tests, where one chooses the answers oneself, become a criterion for hiring, experts warn that 'it is dangerous to judge a person's complex capabilities with just a few alphabets'.",
답,answer,"答 (답: answer, reply)",Noun,"스스로 답을 고르는 심리 검사 결과가 채용의 기준이 되는 현상에 대해, 전문가들은 ""개인의 복잡한 역량을 알파벳 몇 개로 재단하는 것은 위험하다""고 경고하고 있습니다.","Regarding the phenomenon where the results of psychological tests, where one chooses the answers oneself, become a criterion for hiring, experts warn that 'it is dangerous to judge a person's complex capabilities with just a few alphabets'.",
고르다,to choose,Pure Korean,Verb,"스스로 답을 고르는 심리 검사 결과가 채용의 기준이 되는 현상에 대해, 전문가들은 ""개인의 복잡한 역량을 알파벳 몇 개로 재단하는 것은 위험하다""고 경고하고 있습니다.","Regarding the phenomenon where the results of psychological tests, where one chooses the answers oneself, become a criterion for hiring, experts warn that 'it is dangerous to judge a person's complex capabilities with just a few alphabets'.",
검사,test,"檢 (검: inspect, examine) + 査 (사: examine, investigate)",Noun,"스스로 답을 고르는 심리 검사 결과가 채용의 기준이 되는 현상에 대해, 전문가들은 ""개인의 복잡한 역량을 알파벳 몇 개로 재단하는 것은 위험하다""고 경고하고 있습니다.","Regarding the phenomenon where the results of psychological tests, where one chooses the answers oneself, become a criterion for hiring, experts warn that 'it is dangerous to judge a person's complex capabilities with just a few alphabets'.",
결과,result,"結 (결: tie, conclude) + 果 (과: fruit, result)",Noun,"스스로 답을 고르는 심리 검사 결과가 채용의 기준이 되는 현상에 대해, 전문가들은 ""개인의 복잡한 역량을 알파벳 몇 개로 재단하는 것은 위험하다""고 경고하고 있습니다.","Regarding the phenomenon where the results of psychological tests, where one chooses the answers oneself, become a criterion for hiring, experts warn that 'it is dangerous to judge a person's complex capabilities with just a few alphabets'.",
기준,criterion,"基 (기: base, foundation) + 準 (준: standard, criterion)",Noun,"스스로 답을 고르는 심리 검사 결과가 채용의 기준이 되는 현상에 대해, 전문가들은 ""개인의 복잡한 역량을 알파벳 몇 개로 재단하는 것은 위험하다""고 경고하고 있습니다.","Regarding the phenomenon where the results of psychological tests, where one chooses the answers oneself, become a criterion for hiring, experts warn that 'it is dangerous to judge a person's complex capabilities with just a few alphabets'.",
현상,phenomenon,"現 (현: appear, current) + 象 (상: form, image, phenomenon)",Noun,"스스로 답을 고르는 심리 검사 결과가 채용의 기준이 되는 현상에 대해, 전문가들은 ""개인의 복잡한 역량을 알파벳 몇 개로 재단하는 것은 위험하다""고 경고하고 있습니다.","Regarding the phenomenon where the results of psychological tests, where one chooses the answers oneself, become a criterion for hiring, experts warn that 'it is dangerous to judge a person's complex capabilities with just a few alphabets'.",
대하다,to regard,Pure Korean,Verb,"스스로 답을 고르는 심리 검사 결과가 채용의 기준이 되는 현상에 대해, 전문가들은 ""개인의 복잡한 역량을 알파벳 몇 개로 재단하는 것은 위험하다""고 경고하고 있습니다.","Regarding the phenomenon where the results of psychological tests, where one chooses the answers oneself, become a criterion for hiring, experts warn that 'it is dangerous to judge a person's complex capabilities with just a few alphabets'.",
전문가,expert,"專 (전: specialized) + 門 (문: gate, field) + 家 (가: family, expert)",Noun,"스스로 답을 고르는 심리 검사 결과가 채용의 기준이 되는 현상에 대해, 전문가들은 ""개인의 복잡한 역량을 알파벳 몇 개로 재단하는 것은 위험하다""고 경고하고 있습니다.","Regarding the phenomenon where the results of psychological tests, where one chooses the answers oneself, become a criterion for hiring, experts warn that 'it is dangerous to judge a person's complex capabilities with just a few alphabets'.",
개인,individual,"個 (개: individual, unit) + 人 (인: person)",Noun,"스스로 답을 고르는 심리 검사 결과가 채용의 기준이 되는 현상에 대해, 전문가들은 ""개인의 복잡한 역량을 알파벳 몇 개로 재단하는 것은 위험하다""고 경고하고 있습니다.","Regarding the phenomenon where the results of psychological tests, where one chooses the answers oneself, become a criterion for hiring, experts warn that 'it is dangerous to judge a person's complex capabilities with just a few alphabets'.",
역량,capability,"力 (역: power, strength) + 量 (량: measure, quantity)",Noun,"스스로 답을 고르는 심리 검사 결과가 채용의 기준이 되는 현상에 대해, 전문가들은 ""개인의 복잡한 역량을 알파벳 몇 개로 재단하는 것은 위험하다""고 경고하고 있습니다.","Regarding the phenomenon where the results of psychological tests, where one chooses the answers oneself, become a criterion for hiring, experts warn that 'it is dangerous to judge a person's complex capabilities with just a few alphabets'.",
재단,judgment,"裁 (재: cut, judge) + 斷 (단: cut off, decide)",Noun,"스스로 답을 고르는 심리 검사 결과가 채용의 기준이 되는 현상에 대해, 전문가들은 ""개인의 복잡한 역량을 알파벳 몇 개로 재단하는 것은 위험하다""고 경고하고 있습니다.","Regarding the phenomenon where the results of psychological tests, where one chooses the answers oneself, become a criterion for hiring, experts warn that 'it is dangerous to judge a person's complex capabilities with just a few alphabets'.",
위험,danger,"危 (위: danger, peril) + 險 (험: danger, steep)",Noun,"스스로 답을 고르는 심리 검사 결과가 채용의 기준이 되는 현상에 대해, 전문가들은 ""개인의 복잡한 역량을 알파벳 몇 개로 재단하는 것은 위험하다""고 경고하고 있습니다.","Regarding the phenomenon where the results of psychological tests, where one chooses the answers oneself, become a criterion for hiring, experts warn that 'it is dangerous to judge a person's complex capabilities with just a few alphabets'.",
경고,warning,"警 (경: warn, alert) + 告 (고: tell, report)",Noun,"스스로 답을 고르는 심리 검사 결과가 채용의 기준이 되는 현상에 대해, 전문가들은 ""개인의 복잡한 역량을 알파벳 몇 개로 재단하는 것은 위험하다""고 경고하고 있습니다.","Regarding the phenomenon where the results of psychological tests, where one chooses the answers oneself, become a criterion for hiring, experts warn that 'it is dangerous to judge a person's complex capabilities with just a few alphabets'.",
일상,everyday life,"日 (일: day, sun) + 常 (상: always, common, ordinary)",Noun,일상 대화 속에서도 MBTI는 언어 습관을 완전히 바꿔놓았습니다.,"Even in everyday conversations, MBTI has completely changed language habits.",
대화,conversation,"對 (대: face, confront, reply) + 話 (화: talk, speech)",Noun,일상 대화 속에서도 MBTI는 언어 습관을 완전히 바꿔놓았습니다.,"Even in everyday conversations, MBTI has completely changed language habits.",
속,within,Pure Korean,Noun,일상 대화 속에서도 MBTI는 언어 습관을 완전히 바꿔놓았습니다.,"Even in everyday conversations, MBTI has completely changed language habits.",
언어,language,"言 (언: speech, word) + 語 (어: language, word)",Noun,일상 대화 속에서도 MBTI는 언어 습관을 완전히 바꿔놓았습니다.,"Even in everyday conversations, MBTI has completely changed language habits.",
습관,habit,"習 (습: learn, practice) + 慣 (관: custom, habit)",Noun,일상 대화 속에서도 MBTI는 언어 습관을 완전히 바꿔놓았습니다.,"Even in everyday conversations, MBTI has completely changed language habits.",
바꾸다,to change,Pure Korean,Verb,일상 대화 속에서도 MBTI는 언어 습관을 완전히 바꿔놓았습니다.,"Even in everyday conversations, MBTI has completely changed language habits.",
대표,representative,"代 (대: instead, substitute) + 表 (표: surface, express, represent)",Noun,"가장 대표적인 유행어는 단연 ""너 T야?""입니다.","Undoubtedly, the most representative buzzword is 'Are you a T?'",
유행어,"buzzword, catchphrase","流 (류/유: flow, trend) + 行 (행: go, circulate) + 語 (어: language, word)",Noun,"가장 대표적인 유행어는 단연 ""너 T야?""입니다.","The most representative buzzword is, without a doubt, 'Are you a T?'",
단연,"without a doubt, certainly","斷 (단: cut off, decide) + 然 (연: so, like that)",Adverb,"가장 대표적인 유행어는 단연 ""너 T야?""입니다.","The most representative buzzword is, without a doubt, 'Are you a T?'",
위로,"comfort, consolation","慰 (위: comfort, console) + 勞 (로: labor, toil, effort)",Noun,"누군가 위로를 바라고 슬픈 이야기를 했는데, 상대방이 공감해 주지 않고 너무 이성적이고 차갑게 해결책만 제시할 때 쓰는 핀잔입니다.","It's a reprimand used when someone tells a sad story hoping for comfort, but the other person doesn't empathize and instead offers only overly rational and cold solutions.",
바라다,"to hope, to wish for",Pure Korean,Verb,"누군가 위로를 바라고 슬픈 이야기를 했는데, 상대방이 공감해 주지 않고 너무 이성적이고 차갑게 해결책만 제시할 때 쓰는 핀잔입니다.","It's a reprimand used when someone tells a sad story hoping for comfort, but the other person doesn't empathize and instead offers only overly rational and cold solutions.",
슬프다,to be sad,Pure Korean,Adjective,"누군가 위로를 바라고 슬픈 이야기를 했는데, 상대방이 공감해 주지 않고 너무 이성적이고 차갑게 해결책만 제시할 때 쓰는 핀잔입니다.","It's a reprimand used when someone tells a sad story hoping for comfort, but the other person doesn't empathize and instead offers only overly rational and cold solutions.",
이야기,"story, talk",Pure Korean,Noun,"누군가 위로를 바라고 슬픈 이야기를 했는데, 상대방이 공감해 주지 않고 너무 이성적이고 차갑게 해결책만 제시할 때 쓰는 핀잔입니다.","It's a reprimand used when someone tells a sad story hoping for comfort, but the other person doesn't empathize and instead offers only overly rational and cold solutions.",
공감,"empathy, sympathy","共 (공: together, common) + 感 (감: feel, sense)",Noun,"누군가 위로를 바라고 슬픈 이야기를 했는데, 상대방이 공감해 주지 않고 너무 이성적이고 차갑게 해결책만 제시할 때 쓰는 핀잔입니다.","It's a reprimand used when someone tells a sad story hoping for comfort, but the other person doesn't empathize and instead offers only overly rational and cold solutions.",
너무,"too, excessively",Pure Korean,Adverb,"누군가 위로를 바라고 슬픈 이야기를 했는데, 상대방이 공감해 주지 않고 너무 이성적이고 차갑게 해결책만 제시할 때 쓰는 핀잔입니다.","It's a reprimand used when someone tells a sad story hoping for comfort, but the other person doesn't empathize and instead offers only overly rational and cold solutions.",
이성,"reason, rationality","理 (이: reason, principle) + 性 (성: nature, character)",Noun,"누군가 위로를 바라고 슬픈 이야기를 했는데, 상대방이 공감해 주지 않고 너무 이성적이고 차갑게 해결책만 제시할 때 쓰는 핀잔입니다.","It's a reprimand used when someone tells a sad story hoping for comfort, but the other person doesn't empathize and instead offers only overly rational and cold solutions.",
해결책,"solution, resolution","解 (해: untie, solve) + 決 (결: decide, resolve) + 策 (책: plan, scheme, measure)",Noun,"누군가 위로를 바라고 슬픈 이야기를 했는데, 상대방이 공감해 주지 않고 너무 이성적이고 차갑게 해결책만 제시할 때 쓰는 핀잔입니다.","It's a reprimand used when someone tells a sad story hoping for comfort, but the other person doesn't empathize and instead offers only overly rational and cold solutions.",
제시,"presentation, suggestion","提 (제: lift, propose) + 示 (시: show, indicate)",Noun,"누군가 위로를 바라고 슬픈 이야기를 했는데, 상대방이 공감해 주지 않고 너무 이성적이고 차갑게 해결책만 제시할 때 쓰는 핀잔입니다.","It's a reprimand used when someone tells a sad story hoping for comfort, but the other person doesn't empathize and instead offers only overly rational and cold solutions.",
쓰다,to use,Pure Korean,Verb,"누군가 위로를 바라고 슬픈 이야기를 했는데, 상대방이 공감해 주지 않고 너무 이성적이고 차갑게 해결책만 제시할 때 쓰는 핀잔입니다.","It's a reprimand used when someone tells a sad story hoping for comfort, but the other person doesn't empathize and instead offers only overly rational and cold solutions.",
핀잔,"reprimand, scolding",Pure Korean,Noun,"누군가 위로를 바라고 슬픈 이야기를 했는데, 상대방이 공감해 주지 않고 너무 이성적이고 차갑게 해결책만 제시할 때 쓰는 핀잔입니다.","It's a reprimand used when someone tells a sad story hoping for comfort, but the other person doesn't empathize and instead offers only overly rational and cold solutions.",
반대,"opposite, contrary","反 (반: oppose, contrary) + 對 (대: face, confront)",Noun,"반대로 친구들과 여행을 갈 때 분 단위로 엑셀 계획표를 짜오는 친구에게는 ""너 완전 파워 J(계획형)구나!""라며 감탄하기도 합니다.","Conversely, when traveling with friends, they might exclaim with admiration to a friend who creates an Excel itinerary planned down to the minute, 'You're totally a power J (planner type)!'",
친구,friend,Pure Korean,Noun,"반대로 친구들과 여행을 갈 때 분 단위로 엑셀 계획표를 짜오는 친구에게는 ""너 완전 파워 J(계획형)구나!""라며 감탄하기도 합니다.","Conversely, when traveling with friends, they might exclaim with admiration to a friend who creates an Excel itinerary planned down to the minute, 'You're totally a power J (planner type)!'",
여행,"trip, travel","旅 (려/여: travel, journey) + 行 (행: go, travel)",Noun,"반대로 친구들과 여행을 갈 때 분 단위로 엑셀 계획표를 짜오는 친구에게는 ""너 완전 파워 J(계획형)구나!""라며 감탄하기도 합니다.","Conversely, when traveling with friends, they might exclaim with admiration to a friend who creates an Excel itinerary planned down to the minute, 'You're totally a power J (planner type)!'",
분,minute (of time),"分 (분: divide, part, minute)",Noun,"반대로 친구들과 여행을 갈 때 분 단위로 엑셀 계획표를 짜오는 친구에게는 ""너 완전 파워 J(계획형)구나!""라며 감탄하기도 합니다.","Conversely, when traveling with friends, they might exclaim with admiration to a friend who creates an Excel itinerary planned down to the minute, 'You're totally a power J (planner type)!'",
